id,hands,deltarank,deltaage,matchresult
0,0.0,-1.0,0.9664613277999976,0.0
1,1.0,24.0,-2.209445585200001,0.0
2,1.0,3.0,-8.725530458600005,0.0
3,1.0,17.0,5.8918548939,1.0
4,0.0,17.0,-12.709103353900002,0.0
5,1.0,-19.0,7.033538672200002,1.0
6,0.0,-12.0,11.898699520900003,1.0
7,1.0,-13.0,-10.1081451061,0.0
8,1.0,8.0,3.4880219028,0.0
9,0.0,8.0,6.0123203284999995,0.0
10,1.0,-24.0,-8.7392197126,0.0
11,0.0,23.0,-0.3230663928999995,0.0
12,0.0,-10.0,4.5119780972,0.0
13,1.0,-148.0,5.8179329227000025,1.0
14,1.0,-7.0,-0.7200547569999998,1.0
15,1.0,10.0,-1.144421629,0.0
16,1.0,-145.0,-1.010266940399994,1.0
17,1.0,65.0,-6.655715263600001,0.0
18,1.0,-31.0,9.023956194400004,1.0
19,1.0,-43.0,5.281314168400002,1.0
20,1.0,-123.0,-2.973305954799997,0.0
21,1.0,-42.0,12.161533196500002,1.0
22,1.0,24.0,-9.744010951400004,0.0
23,1.0,53.0,-6.425735797400002,0.0
24,1.0,-114.0,-10.034223134799998,0.0
25,1.0,-22.0,1.3744010951999996,0.0
26,1.0,71.0,-9.3169062286,0.0
27,1.0,-109.0,-3.605749486599997,1.0
28,0.0,-25.0,5.724845995900001,1.0
29,1.0,-668.0,5.322381930200002,1.0
30,0.0,44.0,0.418891170400002,0.0
31,0.0,,11.813826146500002,1.0
32,0.0,46.0,-3.5920602326999997,1.0
33,1.0,-559.0,8.9281314168,1.0
34,0.0,-27.0,9.735797399000003,0.0
35,1.0,404.0,-7.356605065,0.0
36,1.0,-19.0,-6.143737166300003,1.0
37,0.0,,-6.4914442163,0.0
38,1.0,-31.0,-0.5420944558999992,0.0
39,0.0,148.0,11.444216290300002,1.0
40,1.0,-9.0,0.4380561259000011,1.0
41,1.0,217.0,-9.3744010952,1.0
42,1.0,-35.0,-1.0704996577999992,1.0
43,1.0,-616.0,11.123887748200001,1.0
44,1.0,22.0,0.9801505818000003,0.0
45,0.0,-365.0,-2.069815195100002,1.0
47,0.0,-764.0,-0.3203285421000004,1.0
48,1.0,26.0,1.5085557837000003,0.0
49,1.0,-399.0,1.7494866530000017,1.0
50,1.0,-7.0,-8.720054757,1.0
51,0.0,65.0,4.424366872,0.0
52,1.0,14.0,10.795345653600002,0.0
53,1.0,-14.0,1.4373716633000022,1.0
54,1.0,-48.0,2.861054072599998,1.0
55,0.0,312.0,-0.8268309378000005,0.0
56,1.0,-7.0,-2.075290896600002,1.0
57,0.0,51.0,5.861738535300002,1.0
58,1.0,41.0,-11.581108829599998,1.0
59,1.0,247.0,-5.251197809800001,0.0
60,1.0,-34.0,13.6563997262,0.0
61,0.0,-298.0,-0.6105407255000017,1.0
62,1.0,-24.0,3.197809719400002,0.0
63,1.0,-67.0,4.914442162899999,1.0
64,1.0,9.0,1.0485968514999975,0.0
65,0.0,-80.0,3.2826830937999993,0.0
67,1.0,-343.0,5.399041752200002,0.0
68,1.0,-15.0,4.2464065709,1.0
69,0.0,13.0,1.6317590690999992,0.0
70,1.0,-9.0,0.24366871999999873,0.0
71,1.0,410.0,-10.3134839151,0.0
72,1.0,24.0,-4.490075290899998,1.0
73,0.0,72.0,-5.659137576999999,0.0
74,1.0,-1.0,-1.3114305269999988,1.0
75,1.0,-451.0,6.116358658399999,1.0
76,0.0,-7.0,1.9849418205999996,0.0
77,1.0,-14.0,-10.288843258,0.0
78,1.0,-11.0,1.8288843258000007,0.0
79,1.0,-6.0,-5.004791238900001,1.0
80,0.0,-8.0,0.6735112936000007,0.0
81,1.0,465.0,4.172484599600001,0.0
82,1.0,-23.0,-3.2936344968999975,0.0
83,1.0,-438.0,6.978781656399999,1.0
84,0.0,4.0,0.15605749479999886,1.0
85,1.0,27.0,11.151266256,1.0
86,0.0,58.0,-1.4948665297999995,0.0
87,0.0,-66.0,14.058863792,0.0
88,1.0,39.0,-1.8617385352000007,0.0
89,1.0,-43.0,4.3066392881999995,1.0
90,1.0,-32.0,15.425051334699997,0.0
91,1.0,8.0,7.559206023200002,0.0
92,1.0,42.0,6.5927446954,0.0
93,1.0,39.0,-1.8781656399999989,0.0
